24	22	18
HOLDING CONTAINERS
Section	code	length	weight	cargo	TW	cargo capacity
0	4985	20	2	19	21	20
1	4994	20	2	7	9	20
2	4999	20	2	20	22	20
3	4987	20	2	2	4	20
--------------------
1210	40	4	20	24	22
1877	40	4	20	24	22
0418	40	4	20	24	22
0048	40	4	21	25	22
1209	40	4	22	26	22
4519	40	4	22	26	22
1951	40	4	20	24	22
3400	40	4	21	25	22
2678	20	2	3	5	20
2683	20	2	18	20	20
1057	20	2	5	7	20
1058	20	2	17	19	20
0391	40	4	22	26	22
0992	20	2	10	12	20
0993	20	2	13	15	20
1705	20	2	8	10	20
1706	20	2	12	14	20
1894	40	4	21	25	22
3333	40	4	22	26	22
2606	40	4	22	26	22
4470	20	2	19	21	20
4471	20	2	4	6	20
1976	20	2	6	8	20
1977	20	2	19	21	20
1285	20	2	7	9	20
1286	20	2	16	18	20
0496	20	2	10	12	20
0497	20	2	12	14	20
1688	20	2	11	13	20
1689	20	2	12	14	20
1316	40	4	22	26	22
2914	20	2	7	9	20
2915	20	2	16	18	20
1172	20	2	8	10	20
1193	20	2	18	20	20
1101	20	2	6	8	20
1102	20	2	17	19	20
1596	20	2	3	5	20
1600	20	2	19	21	20
2250	20	2	6	8	20
2251	20	2	18	20	20
1820	20	2	20	22	20
1821	20	2	3	5	20
3237	20	2	14	16	20
3238	20	2	10	12	20
3535	20	2	18	20	20
3536	20	2	8	10	20
0578	20	2	10	12	20
0579	20	2	13	15	20
0358	20	2	8	10	20
0362	20	2	16	18	20
1076	20	2	14	16	20
1085	20	2	10	12	20
2917	20	2	20	22	20
2918	20	2	4	6	20
3151	20	2	16	18	20
3152	20	2	8	10	20
1646	20	2	8	10	20
1647	20	2	18	20	20
1346	20	2	9	11	20
1352	20	2	15	17	20
4178	20	2	9	11	20
4179	20	2	15	17	20
2635	20	2	13	15	20
2636	20	2	12	14	20
3780	20	2	18	20	20
3793	20	2	7	9	20
4499	20	2	8	10	20
4500	20	2	16	18	20
0711	20	2	10	12	20
0712	20	2	16	18	20
2231	20	2	17	19	20
2260	20	2	8	10	20
2501	20	2	13	15	20
2502	20	2	12	14	20
2721	20	2	5	7	20
2722	20	2	20	22	20
0674	20	2	16	18	20
0697	20	2	9	11	20
3817	20	2	4	6	20
3818	20	2	20	22	20
1965	20	2	18	20	20
1966	20	2	9	11	20
4877	20	2	15	17	20
4878	20	2	10	12	20
4607	20	2	6	8	20
4615	20	2	19	21	20
4742	20	2	16	18	20
4768	20	2	9	11	20
2402	20	2	17	19	20
2406	20	2	8	10	20
3541	20	2	6	8	20
3559	20	2	18	20	20
3472	20	2	17	19	20
3473	20	2	10	12	20
1724	20	2	12	14	20
1725	20	2	14	16	20
0467	20	2	15	17	20
0468	20	2	11	13	20
4364	20	2	20	22	20
4365	20	2	6	8	20
4154	20	2	20	22	20
4157	20	2	5	7	20
0255	20	2	6	8	20
0280	20	2	20	22	20
2658	20	2	13	15	20
2659	20	2	14	16	20
1673	20	2	20	22	20
1690	20	2	6	8	20
3298	20	2	19	21	20
3299	20	2	9	11	20
4776	20	2	6	8	20
4777	20	2	19	21	20
4949	20	2	7	9	20
4950	20	2	19	21	20
0206	20	2	10	12	20
0223	20	2	16	18	20
3670	20	2	10	12	20
3671	20	2	18	20	20
1978	20	2	14	16	20
1979	20	2	12	14	20
0939	20	2	7	9	20
0948	20	2	18	20	20
0317	20	2	20	22	20
0318	20	2	9	11	20
1833	20	2	14	16	20
1850	20	2	12	14	20
0125	20	2	9	11	20
0143	20	2	17	19	20
3683	20	2	12	14	20
3691	20	2	16	18	20
4262	20	2	9	11	20
4272	20	2	18	20	20
3111	20	2	17	19	20
3112	20	2	8	10	20
0628	20	2	18	20	20
0629	20	2	9	11	20
0642	20	2	16	18	20
0643	20	2	10	12	20
0245	20	2	18	20	20
0246	20	2	11	13	20
3313	20	2	17	19	20
3314	20	2	11	13	20
0090	20	2	11	13	20
0091	20	2	16	18	20
3439	20	2	20	22	20
3440	20	2	7	9	20
1702	20	2	14	16	20
1720	20	2	12	14	20
0483	20	2	9	11	20
0484	20	2	19	21	20
1146	20	2	16	18	20
1147	20	2	13	15	20
2000	20	2	11	13	20
2020	20	2	18	20	20
0838	20	2	14	16	20
0839	20	2	13	15	20
4260	20	2	16	18	20
4311	20	2	11	13	20
0585	20	2	12	14	20
0586	20	2	15	17	20
3092	20	2	9	11	20
3127	20	2	19	21	20
2826	20	2	13	15	20
2827	20	2	16	18	20
0555	20	2	18	20	20
0584	20	2	10	12	20
1760	20	2	20	22	20
1761	20	2	9	11	20
4208	20	2	9	11	20
4209	20	2	19	21	20
2767	20	2	8	10	20
2768	20	2	19	21	20
4238	20	2	15	17	20
4278	20	2	14	16	20
0532	20	2	13	15	20
0533	20	2	16	18	20
1520	20	2	20	22	20
1521	20	2	8	10	20
1280	20	2	20	22	20
1281	20	2	9	11	20
4814	20	2	20	22	20
4829	20	2	9	11	20
3527	20	2	10	12	20
3528	20	2	18	20	20
1764	20	2	17	19	20
1772	20	2	12	14	20
0909	20	2	16	18	20
0946	20	2	13	15	20
1176	20	2	20	22	20
1208	20	2	8	10	20
1490	20	2	16	18	20
1491	20	2	13	15	20
2162	20	2	10	12	20
2196	20	2	18	20	20
0658	20	2	14	16	20
0664	20	2	16	18	20
1727	20	2	10	12	20
1752	20	2	19	21	20
4465	20	2	16	18	20
4490	20	2	14	16	20
4323	20	2	16	18	20
4331	20	2	12	14	20
3217	20	2	19	21	20
3218	20	2	10	12	20
