0000	40	4	2	22
0001	40	4	19	22
0002	40	4	5	22
0003	20	2	6	20
0004	20	2	15	20
0005	20	2	3	20
0006	40	4	19	22
0007	40	4	12	22
0008	40	4	11	22
0009	40	4	14	22
0010	20	2	1	20
0011	40	4	20	22
0012	20	2	9	20
0013	40	4	10	22
0014	20	2	18	20
0015	20	2	1	20
0016	40	4	10	22
0017	20	2	8	20
0018	40	4	13	22
0019	40	4	8	22
0020	20	2	13	20
0021	40	4	15	22
0022	20	2	4	20
0023	40	4	5	22
0024	40	4	2	22
0025	20	2	1	20
0026	20	2	7	20
0027	40	4	14	22
0028	20	2	16	20
0029	40	4	18	22
0030	20	2	10	20
0031	40	4	1	22
0032	20	2	4	20
0033	40	4	12	22
0034	40	4	12	22
0035	20	2	14	20
0036	40	4	17	22
0037	40	4	9	22
0038	20	2	0	20
0039	40	4	19	22
0040	40	4	19	22
0041	40	4	9	22
0042	40	4	15	22
0043	20	2	14	20
0044	40	4	15	22
0045	40	4	10	22
0046	40	4	20	22
0047	40	4	16	22
0048	40	4	7	22
0049	40	4	20	22
0050	20	2	6	20
0051	40	4	10	22
0052	20	2	0	20
0053	20	2	10	20
0054	40	4	9	22
0055	40	4	5	22
0056	20	2	1	20
0057	40	4	20	22
0058	20	2	9	20
0059	20	2	5	20
0060	20	2	11	20
0061	20	2	4	20
0062	40	4	6	22
0063	40	4	2	22
0064	40	4	8	22
0065	40	4	17	22
0066	40	4	13	22
0067	20	2	1	20
0068	20	2	9	20
0069	20	2	15	20
0070	20	2	19	20
0071	40	4	0	22
0072	20	2	7	20
0073	40	4	20	22
0074	20	2	0	20
0075	20	2	17	20
0076	20	2	16	20
0077	20	2	6	20
0078	20	2	7	20
0079	40	4	10	22
0080	20	2	8	20
0081	40	4	4	22
0082	20	2	13	20
0083	20	2	9	20
0084	40	4	12	22
0085	20	2	15	20
0086	20	2	20	20
0087	20	2	7	20
0088	40	4	8	22
0089	40	4	9	22
0090	40	4	13	22
0091	40	4	17	22
0092	20	2	12	20
0093	40	4	14	22
0094	40	4	8	22
0095	20	2	8	20
0096	20	2	7	20
0097	40	4	1	22
0098	40	4	8	22
0099	20	2	18	20
0100	20	2	4	20
0101	40	4	2	22
0102	20	2	20	20
0103	40	4	7	22
0104	40	4	2	22
0105	20	2	17	20
0106	20	2	12	20
0107	20	2	8	20
0108	20	2	9	20
0109	20	2	13	20
0110	40	4	5	22
0111	40	4	3	22
0112	40	4	15	22
0113	20	2	16	20
0114	40	4	1	22
0115	40	4	16	22
0116	40	4	15	22
0117	40	4	7	22
0118	40	4	15	22
0119	40	4	13	22
0120	20	2	12	20
0121	20	2	2	20
0122	40	4	20	22
0123	40	4	14	22
0124	20	2	15	20
0125	20	2	15	20
0126	40	4	16	22
0127	40	4	17	22
0128	40	4	9	22
0129	20	2	6	20
0130	20	2	4	20
0131	40	4	18	22
0132	20	2	3	20
0133	40	4	8	22
0134	40	4	16	22
0135	40	4	4	22
0136	40	4	1	22
0137	20	2	11	20
0138	40	4	1	22
0139	20	2	8	20
0140	40	4	10	22
0141	20	2	8	20
0142	40	4	21	22
0143	40	4	8	22
0144	40	4	2	22
0145	20	2	1	20
0146	20	2	6	20
